age,income,expences,investment_knowledge,financial_goal,risk_tolerance
58,99604.22707288757,3192.2143833201876,advanced,long-term,high
48,49175.5127560506,2841.101578023797,none,short-term,medium
34,106098.45353273203,4163.737213888021,basic,long-term,medium
62,55375.99329524901,4510.141460428618,advanced,short-term,medium
27,50235.382977033005,2631.392810734396,basic,short-term,medium
40,58506.97344697855,3544.766867094904,basic,long-term,medium
58,114025.60171471509,4784.533033933894,none,short-term,medium
38,74198.29725253994,4189.036203214972,advanced,short-term,medium
42,85588.71023307605,4337.697438400488,none,long-term,medium
30,71322.1652454396,4867.9853074424145,basic,short-term,medium
30,73198.42733639586,4854.84517237325,basic,short-term,medium
43,64882.398935314115,4528.642630303066,none,long-term,medium
55,76014.87917710532,3644.937414781181,basic,short-term,medium
59,84891.99783763429,3117.5169825419084,none,long-term,medium
43,108566.11019645791,3603.4777653131855,none,long-term,medium
22,37510.62250280976,2965.5933139766316,basic,long-term,medium
41,107216.40618785005,1547.5131269893177,advanced,long-term,high
21,85559.20854052948,3220.50093419996,basic,short-term,medium
43,67644.74434693946,3857.52624383722,basic,short-term,medium
63,64045.53034081342,2912.730582233821,none,long-term,medium
49,95873.512907375,3307.2202127613923,none,long-term,medium
57,79579.57076377081,3345.963284033268,none,long-term,medium
21,44318.69762602144,4856.856774218889,none,short-term,medium
40,82261.39206674618,3140.5627259750977,basic,short-term,medium
52,97887.43070949367,4856.633382183454,basic,short-term,medium
31,92157.29317576933,1500.0,basic,long-term,medium
41,62462.84260923691,4847.855781329036,none,long-term,medium
63,48159.85391893287,4797.406114862624,basic,long-term,medium
44,68480.53718037023,4402.254673389191,advanced,long-term,medium
46,140079.70252175213,1500.0,none,short-term,medium
61,44100.02102806005,4518.886995222481,advanced,long-term,medium
47,58145.29807026155,3449.8808243247495,advanced,long-term,medium
35,82840.83779465192,1500.0,none,long-term,medium
34,72509.49504812632,4798.177707834696,basic,long-term,medium
63,70995.9020853786,4944.173078548968,basic,long-term,medium
22,115494.41996002012,1595.4879281348287,basic,long-term,medium
56,57934.801159240465,3675.421075300113,basic,short-term,medium
26,74714.3890458981,4888.591121444183,basic,short-term,medium
40,79038.14883605592,4730.161313457146,basic,long-term,medium
28,58905.26629849008,4336.061051159523,basic,short-term,medium
58,46186.945223863666,1500.0,basic,short-term,medium
37,80386.35308505077,4229.542766635814,basic,short-term,medium
23,111273.33151757815,3281.8961016260573,basic,long-term,medium
44,83091.65790235049,4495.857528718494,basic,short-term,medium
33,76801.45173963322,3756.1614584338245,none,long-term,medium
28,76654.60871600958,3480.118389711135,none,long-term,medium
45,69831.64528365129,4140.9038494092365,advanced,short-term,medium
21,98669.64640282006,3328.086628928242,basic,short-term,medium
39,64891.15452416273,3475.722720108058,none,short-term,medium
47,47864.290311628756,2944.7760008712385,none,long-term,medium
26,43366.92148770909,1894.5910088154376,none,short-term,medium
63,76580.18028488113,4067.853473771271,advanced,short-term,medium
27,96213.84926360603,2693.96968032943,basic,short-term,medium
54,79749.7050324388,3299.208133959266,advanced,long-term,medium
33,68652.62429458713,3786.9739584539334,basic,long-term,medium
36,84168.82593123958,1500.0,basic,long-term,medium
55,78724.24687789251,1638.6510963231767,basic,long-term,medium
59,91523.80947308532,3200.261423390797,basic,short-term,medium
23,101530.07774873548,3954.563482299656,none,long-term,medium
21,55912.1974285401,4244.038270649161,advanced,short-term,medium
25,30000.0,1908.6855041240929,advanced,long-term,medium
61,67969.264027591,4136.631484412815,basic,long-term,medium
23,54613.17065519858,3254.9303816836637,advanced,long-term,medium
48,91639.16373149022,2616.842754903523,advanced,short-term,high
37,60513.324093058014,2851.4481439406295,basic,short-term,medium
45,37484.42722872114,4301.8573320401665,none,short-term,low
63,63515.97102384642,3774.0057850855715,basic,short-term,medium
53,45160.51349082301,3550.3065227553207,basic,short-term,medium
29,106803.154380217,3743.4957388078997,none,short-term,medium
55,84432.83908896138,4428.097776616193,none,short-term,medium
33,87951.16218027427,3402.9004325966766,basic,long-term,medium
50,85720.53069809717,3554.3188864542367,none,long-term,medium
34,91803.4231855685,4638.170740137805,basic,long-term,medium
27,97666.84050138148,3168.4133757368413,advanced,short-term,high
33,64205.09281350812,4118.140595280682,advanced,long-term,medium
42,46600.76734016619,2996.2955193268585,none,short-term,medium
59,58061.32525504674,3084.1326585882157,advanced,long-term,medium
40,74095.0075252136,3395.9502432003633,none,short-term,medium
35,30000.0,4015.2728529867654,none,long-term,low
64,97854.51766587664,4694.181962551069,basic,long-term,medium
37,37065.05559634155,3596.545263538775,basic,long-term,medium
43,86981.86651658283,2000.1630886764556,basic,long-term,medium
45,71638.5842158894,4131.446293533938,basic,long-term,medium
44,80703.50649299307,5953.84217414571,none,long-term,medium
64,65561.60517419718,3608.6688310673503,none,long-term,medium
60,79344.12955786129,1791.2323608204206,basic,long-term,medium
48,65562.44951764261,3669.6528894708513,basic,long-term,medium
34,63876.37708396023,3496.987396816161,basic,long-term,medium
64,57055.27337277388,3412.8911566376105,none,long-term,medium
20,105516.59914501662,4445.409899977132,basic,long-term,medium
44,82338.18834193949,4878.2747863357245,none,short-term,medium
26,79189.93725264717,4183.585745201083,none,short-term,medium
28,57488.76423936078,3366.9419153289314,basic,short-term,medium
43,70303.03332821385,4625.67878436963,none,short-term,medium
20,55255.415846541495,2006.1703587857594,none,short-term,medium
63,65176.72942501085,2783.9438792660053,basic,long-term,medium
27,50817.55220878028,2895.3722213982705,basic,short-term,medium
43,106782.88264405102,3469.049352068065,basic,long-term,medium
30,59861.87818976808,4006.734662486838,none,short-term,medium
36,57498.42354263765,3299.2870516627163,none,short-term,medium
27,48487.79448994824,2593.9642054977253,none,long-term,medium
54,59575.89076836572,4474.85028469613,none,long-term,medium
54,65102.13144869438,3264.5432777953056,basic,short-term,medium
52,74010.40894433604,3602.1289208710336,advanced,long-term,medium
24,62093.55581605028,4051.067745475908,basic,long-term,medium
61,42987.77981944732,3538.877607922947,basic,short-term,medium
58,44708.50312367525,3543.2716947442905,basic,short-term,medium
60,88593.19338326837,4530.47342043583,basic,long-term,medium
47,72544.22501684971,3651.3694745703765,basic,long-term,medium
26,87977.864825071,4362.796985790489,basic,long-term,medium
28,90605.50328840002,4044.6674443183897,basic,long-term,medium
27,78021.59924305457,5516.887544186916,none,short-term,medium
